Reference Number ,subtitle,photo_url,question,answer,optionA,optionB,optionC
1031,,,When must a current remote pilot certificate be in the pilot's personal possession or readily accessible in the aircraft? ,C,When acting as a crew chief during launch and recovery.,Only when a payload is carried.,Anytime when acting as pilot-in-command or as a required crewmember.
1032,,,"Each person who holds a pilot certificate, a U.S. driver's license, or a medical certificate shall present it for inspection upon the request of the Administrator, the National Transportation Safety Board, or any ",A,authorized representative of the Administrator of the Department of Transportation. ,authorized representative of the Department of the Department of State.,"federal, state, or local law enforcement officer."
1324,,,"Upon request by the FAA, the remote pilot in command must provide ",B,a logbook documenting small UA landing currency. ,a remote pilot certificate with a small UAS rating. ,any employer issued photo identification
1304,,,"If requested, to whom must I present my Remote Pilot Certificate? ",B,A person of authority. ,FAA Inspector. ,Authorized representative of the Department of State.
1035,,,Under what conditions would a small unmanned aircraft not have to be registered before it is operated in the United States?,A,"When the aircraft weighs less than .55 pounds on takeoff, including everything that is on-board or attached to the aircraft. ",When the aircraft has a takeoff weight that is more than .55 pounds but less than 55 pounds not including fuel and necessary attachments. ,All small unmanned aircraft need to be registered
1034,,,"According to 14 CFR Part 48, when must a person register a small UA with the Federal Aviation Administration? ",A,All civilian small UAs weighing greater than .55 pounds must be registered regardless of its intended use. ,When the small UA is used for any purpose other than as a model aircraft.,Only when the operator will be paid for than as a model aircraft.
1343,,,A civil small unmanned aircraft operating under Part 107 is permitted to ,C,have dual registration in both the U.S. and a foreign country. ,operate only if possessing a U.S. registration certificate.,operate if possessing either a U.S. registration or a foreign registration certificate.
1036,,,"According to 14 CFR Part 107, the responsibility to inspect the small unmanned aircraft system (SUAS) to ensure it is in safe operating condition rests with the ",C,owner of the SUAS.,visual observer. ,remote pilot-in-command.
1037,,,Which preflight action is specifically required of the pilot prior to each flight?,B,Check the aircraft logbooks for appropriate entries. ,"Assess the operating environment including weather conditions, local airspace and air restrictions, the location of persons and one on the surface, and other ground hazards.",Visually inspect the pilot certificates of all members.
1038,,,Under what circumstances may lithium batteries be carried during SUAS operations?,C,Lithium batteries are prohibited from SUAS operations.,Lithium batteries may be carried in a sealed storage container away from the SUAS fuel source,Lithium batteries may be carried only when installed as the primary power for the operation.
1041,,,"Power company employees use an SUAS TO inspect a long stretch of high voltage powerlines. Due to muddy conditions, their vehicle must stay beside the road and the crew must use binoculars to maintain visual line of sight with the aircraft. Is this SUAS operation in compliance with 14 CFR Part 107? ",C,"Yes, the operation is compliant with Part 107. ",There is not enough information to make a determination. ,"No, the operation is not compliant with Part 107."
1044,,,What speed limit applies to sUasS operation?,C,200 knots.,80 mph.,100 mph.
1045,,,"Unless otherwise authorized, what is the maximum airspeed at which a person may operate a sUAS below 400feet?",C,200 knots.,80 mph.,100 mph.
1322,,,"According to 14 CRF part 107, what is the maximum ground speed for a small UA?",A,87 knots. ,87 mph,100knots
1046,,,The basic weather minimums for operating an sUAS  up to the 400 feet AGL limit are,A,900 -foot ceiling and 3 mile visibility ,"2,000-foot ceiling and 1 mile visibility.",clear of clouds and 2 miles visibility.
1270,,,"In accordance with 14CFR Part 107, at what maximum altitude can you operate an sUAS when inspecting a tower with a top at 1000 feet AGL at close proximity?",B,1400 MSL,1400 feet AGL ,400 feet AGL
1323,,https://i.imgur.com/8I4b18I.jpg,You have been contracted to inspect towers located approximately 4NM south of the Sioux Gateway (SUX) airport operating an unmanned aircraft. What is the maximum altitude above ground level (AGL) that you are authorized to operate over the top of the towers?,C,400 Feet AGL ,402 feet AGL ,802 feet AGL
1047,,,Which aircraft has right-of-way over the other traffic?,A,An Airplane ,an sUAS,A quadcopter
1048,,,What action should the pilots take if a collision is anticipated?,B,The manned aircraft pilot should give way to the right.,The remote pilot should give way to the right. ,Both pilots should give way to the right. 
1049,,,What may be used to assist compliance with sUAS see-and-avoid requirements?,C,Binoculars,First-person view camera. ,remote pilot diligence.
1320,,,"During a flight of your small UA, you observe a hot air balloon  entering the area. You should",A,yeild the right-of-way to the hot air balloon. ,"ensure the UA passes below, above, or ahead of the balloon.",expect the hot air balloon to climb above your altitude. 
1050,,,Which action is specficially required of the remote pilot prior to each flight?,B,Check the aircraft logbooks to ensure maintenacne is current ,"Make a plan to keep non-participants clear, indoors, or under cover. ",Identify a non-participant who will be near the sUAS operation to help with see-and-avoid procedures 
1051,,,Remote pilots are required to complete the following operational area surveillance prior to a sUAS flight:,C,Select an operational area that is populated. ,Make a plan to keep non-participants in viewing distance for the whole operation.,Keep the operational area free of and at an appropriatedistance from all non-participants.
1052,,,Except when necessary for takeoff or landing what is the minimum safe altitude required for a remote pilot to operate an sUAS over people?,C,"an altitude allowing, if a power unit fails, an emergency landing with undue hazard to person or property on the surface. ","An altitude of 200 feetabove the hightest obstacle within a horizontal radius of 1,000 feet",You may not operate an sUAS over people who are not part of the sUAS operation.
1037,,,A small UA must be operated in a manner which,A,does not endanger the life or property of another. ,requires more than one visual observer. ,never exceeds 200 feet AGL
1053,,, A professional wildlife photographer operates an sUAS from a moving truck to capture aerial images of migrating birds in remote wetlands. The driver of the truck does not serve any crewmember role in the operation. Is this sUAS operation in compliance with 14CFR Part 107?,A,Compliant with Part 107 ,Not Compliant with Part 107,Not compliant with state and local traffic laws. 
1054,,,"In accordance with 14 CFR Part 107, you may operate an sUAS from a moving vehicle when no property is carried from compensation or hire",C,over suburban areas.,over a parade or other social event.,over a sparsey populated area.
1055,,,Which of the follwing operations is compliant with 14CFR Part 107?,C,Remote PIC is driving a moving vehicle while operating an sUAS in a sparsely populated area.,Remote PIC is a passenger on an aircraftin flight while operating an sUAS. ,remote PIC  is a passenger in a moving boate while operating an sUAS in an unpopulated area. 
1056,,,Personnel at an outdoor concert venue use an sUAS to drop promotional t-shirtsand CDs over the audience. Is this sUAS operation in compliance with 14CFR Part 107?,B,"Yes, compliant with Part 107",Not Compliant with Part 107,"No, unless authorized by the venue. "
1057,,,Under what conditions may objects be dropped from the sUAS?,B,In an emergency.,If precautions are taken to avoid injury or damage to persons or property on the surface. ,If prior permission is received from the Federal Aviation Administration. 
1318,,,You plan to release golf balls from your small UA at an altitude of 100 feet AGL. You must ensure the objects being dropped will,A,not create an undue hazard to person or property.,land within 10 feet of the expected landing zone. ,not cause property damage in excess of 300$
1058,,,You wish to start a local delivery business using an sUAS to drop small packages at the front door of customer. The customer's residence is not always within visual line-of-sight(VLOS) of the Remote PIC located at the delivery facility. Under which circumstances would this be authorized?,C,With a waiver from the FAA.,By utilizing a vehicle to follow the sUAS while enroute to maintin VLOS.,There is currently no way to do this in compliance with AC-107-2.
1059,,,Who holds the responsibility to ensure all crew-members who are participating in the operation are not impaired by drugs or alcohol?,A,Remote Pilot in Command.,The FAA,Site supervisor
1060,,,A person may not act as a crewmember of a sUAS if alcoholic berages have been cosumed by that person within the preceding ,A,8 hours ,12 hours. ,24 hours. 
1319,,,"After having dinner and wine, your client asks you to go outside to demonstrate the small UA's capabilities. You must. ",B,Pass a silf-administered sobriety test before operating a small UA.,not operate a small UA within 8 hours of cosuming any alcoholic beverage.,ensure that your visual oberver has not consumed any alcholic beverage in the previous 12 hours. 
1061,,,No person my attempt to act as a crewmember of a sUAS with. ,C,4 pecent by weight or more alcohol in the blood. ,.004 percent by weight or more alcohol in the blood.,.04 percent by weight or more alcohol in the blood.
1062,,,Which is true regarding the presence of alcohol within the human body?,C,A small amount of alcohol increases vision actuity.,Consuming an equal amount of water will increase the destruction of alcohol and alleviate a hangover.,Judgement and decision-making abilities can be adversely affected by even small amounts of alcohol. 
1063,,,A law enforcement officer witnesses careless or reckless behavior while observing sUAS operations and request the operator submitto a drug or alcohol test. What are the consequences if this request is denied. ,C,The operator may be denied an application for a remote pilot certificate for up to 30 days. ,The operator may have to pay a fine but their remote pilot certificate will not be affected. ,The operator may have their remote pilot certificate with sUAS rating suspended or revoked.
1325,,,The refusal of a remote PIC to submit to a blood alcohol test when requested by a low enforcement officer ,A,is grounds for suspension or revocation of their remote pilot cerfificate. ,can be delated for a period up to 8 hours after the request. ,has no consequences to the remote pilot cerficate. 
1275,,,When can someone with a marijuana convicion apply for a Remote Pilot cerficiate?,C,Never ,18 months. ,1 year. 
1306,,,If you are caught smoking marijunana the FAA will ,B,Send you to a drug treament center. ,Issue an immediate suspension or revocation of your pilot certificate. ,Deny all future piot applications. 
1281,,,What FAA resource can pilots reference to learn more about the impact of drugs and alcholo on flight?,A,Pilot's Handbook of Aeronautical knowlege. ,The Pilot Operating Handbook. ,NOTAMs
1064,,,"If a certificated pilot changes permanent mailing address and fails to notify the FAA Airmen Certification Branch of the new address, the pilot is entilited to exercise the privileges of the pilot certificate for a period of only.",A,30 Days after the date of the move. ,60 days after the date of the move. ,90 days after the date of the move. 
1065,,,The FAA may approve your application for a waiver of provisions in Part 107 only when it has been determined that the proposed operation,B,involves public aircreaft or air carrier operations. ,car be safely conducted under the terms of that certificate of waiver. ,will be conducted outside of the United States. 
1066,,,"When requesting a waiver, the required documents should be presented to the FAA at least how many days prior to the planned operation?",C,30 Days.,10 Days.,90 Days
1067,,,The most comprehensive information on a given airport is provided by  ,A,the Chary Supplement U.S. ( formerly Airport/ Facility Directory).,Notices to Airmen (NOTAMs),Terminal Area Chart (TAC)
1068,"(Refer to Figure 20, Area 5.)",https://i.imgur.com/80UCPk3.jpg,"How would a remote PIC ""CHECK NOTAMS' as noted in the CAUTION box regarding the unmarked balloon?",C,By utilizing the B4UFLY mobile application. ,By conacting the FAA district office. ,By obtaining a briefing via an online source such as 1800WXbrief.com
1313,,,An FDC NOTAM will typically contain information,A,regarding public gatherings of large groups.,regarding military operations.,regarding available hard surface runways. 
1070,,,"Flight Data Center (FDC) NOTAMS are issued by the National Flight Data Center and contain regulartory information, such as ",A,temporary flight restrictions. ,markings and signs used at airports. ,standard communication procedures at uncontrolled airports. 
1071,,,Time-critical information on airpoarts and changes that affect the national airspace system are provided by ,A,Notices to Airmen (NOTAMS). ,The Chart Supplement U.S.  (formerly Airport/ Facilities Directory or A/FD).,Advisory Circulars (ACs)
1072,,,One of the purposes for issuing a temporary flight restriction (TFR) is to ,B,announce Parachute Jump Areas. ,protect public figures. ,indentify Airport Advisory Areas. 
1073,,,Public figures are protected by ,C,special use airspace.,prohibited areas. ,temporary flight restrictions. 
1074,,,THE FAA publication that provides the aviation community with basic flight information and Air Traffic Control procedures for use in the National Airspace Ststem of the United States is the,A,Aironautical Information Manual (AIM).,Chart Supplement U.S. (formerly A/FD).,Advisory Circular Checklist (AC 00-2).
1075,(Refer to Figure 31.),https://i.imgur.com/FgFOxOo.jpg,Within what airspace is Coeur D'Alene Pappy Boyingtom Fld located?,B,Class B. ,Class E. ,Class D
1076,(Refer to Figure 52),https://i.imgur.com/ZwzVQet.jpg,What special conditions do remote pilots need to be on the lookout for while operating near Lincoln Airport?,B,Deer near the runway ,Birds in the vicinity ,Parachute operations.
1276,,,Checking the NOTAMs confirms the Blue Angels are scheduled to perform at the local airport. When can UAS operation resume relative to this NOTAM?,B,Once the Blue Angels have landed ,With ATC authorization ,"Immediately, so long as the 1NM distance is maintained. "
1077,"(Refer to Figure 25, Area 4)",https://i.imgur.com/yr5fTgJ.jpg,The floor of Class B airspace overlying Hicks Airport (T67) north-northwest of Fort Worth Meacham Field is ,C,at the surface,"3,200 feet MSL","4,000 feet MSL. "
1288,"(Refer to Figure 25, Area 4.)",https://i.imgur.com/yr5fTgJ.jpg,What is the base of the Blass B airspace over Hicks Airport (T67) ,C,"3,000 feet AGL ","4,000 feet AGL ","4,000 feet MSL."
1326,"(Refer to Figure 25, Area 3.)",https://i.imgur.com/yr5fTgJ.jpg,The floor of Class B airspace at Dallas Executive (RBD) is ,B,at the surface. ,"3,000 feet MSL. ","3,100 feet MSL. "
1340,(Refer to Figure 23.),https://i.imgur.com/mlGifuy.jpg,"You have been hired to inspect a farm 3 miles west of Hilton Head Airport, in waht type  of airspace will you be operating?",C,Class G,Class E,Class C
1078,"(Refer to Figure 23, Area 3.) ",https://i.imgur.com/mlGifuy.jpg,What is  the floor of the Savannah Class C airspace at the shelf area (outer circle)?,B,"1,300 feet AGL. ","1,300 feet MSL ","1,700 feet MSL. "
1079,,,"According to 14 CFR Part 107, the remot PIC of a small Unmanned aircraft  planning to operate within Class C airspace ",A,is required to recieve ARC authorization ,is required to file a flight plan . ,must use a visual observer. 
1080,,,"According to 14CFR part 107, how may a Remote Pilot in Command( Remote PIC) operate an unmanned aircraft in Class C airspace?",A,The Remote PIC must have prior authorization from the Air Traffic Control (ATC) facility having jurisdiction over that airspace.,The Remote PIC  must contact the Air Traffic Control (ATC) facility after launching the unmanned aircraft. ,The Remote PIC must monitor the Air Traffic Control (ATC) frequency from launch to recovery.
1081,,,The lateral dimentions of Class D airspace are based on ,C,The number of airports that lie within the Class D airspace. ,5 statute miles from the geographical center of the primary airport. ,the instrument procedures for which the controlled airspace is established.
1082,"(Refer to Figure 74, Area 6.)",https://i.imgur.com/7WnuAA4.jpg,What airspace is Hayward Executive in?,C,Class B,Class C,Class D 
1083,"(Refer to Figure 26, Area 5)",https://i.imgur.com/VcrUqUa.jpg,The airspace overlying and within 5 miles of Barnes County Airport is,C,Class D airspace from the surface to the floor of the overlying Class E airspace.,"Class E airspace from the surface to 1,200 feet MSL. ",Class G airspace from the surface up to but not including 700 feet AGL. 
1084,(Refer to Figure 76. ),https://i.imgur.com/SubPFlw.jpg,What ATC permissions are required to operate near Anderson Airport?,B,ATC clearance required. ,No ATC permission is required. ,Waiver must be requested. 
1085,(Refer to Figure 78.),https://i.imgur.com/8I4b18I.jpg,"In what airspace is Onawa,IA (K36) located? ",B,Class E ,Class G ,Class D 
1327,"(Refer to Figure 78, near the center of the chart.)",https://i.imgur.com/8I4b18I.jpg,What class of airspace is associated with SIOUX GATE-WAY/COL DAY (SUX) Airport?,C,Class B airspace. ,Class C airspace.,Class D airspace.
1328,"(Refer to Figure 20, Area 1.)",https://i.imgur.com/d7YF7CJ.jpg,The Fentress NALF Airport (NFE) is in what type of airspace?,B,Class C,Class E ,Class G
1305,,,The typical outer radius limits of Class C airspace are ,B,10NM.,20NM.,30NM. 
1307,,https://i.imgur.com/EjZSbYa.jpg,The airspace  directly overyling Addison Airport (ADS) is ,B,"Class D up to 3,000 feet MSL. ","Class D up to but not including 3,000 feeet MSL. ","Class E from the surface up to 3,000 feet MSL. "
1295,"(Refer to Figure 25, Area 2.)",,The airspace overlying Tomlinson Airport is ,B,"Class G up to 18,000.","Class E from 1,200 up to but not including 18,000.","Class E from 700 up to but not including 18,000"
1282,,https://i.imgur.com/8I4b18I.jpg,You haven been hired to fly your UA to inspect train trackes from the town of Hinton to the town of Winnebago. Will you be able to conduct this flight without contacting ATC?,C,"Yes, because you will remain under 400 feet. ","No, becuase you will pass through Echo airspace ","No, because you will pass throught Delta airspace. "
1321,(Refer to Figure 78.),https://i.imgur.com/8I4b18I.jpg,You have been hired to use your small UAS to inspect the railroad tracks from Blencoe (SE of Sioux City) to Onawa. Will ATC authorization be required?,B,"Yes, Onawa is in Class D airspace that is designated for airport.","No, your entire flight is in Class G airspace. ","Yes, you must contact the Onawa control tower to operate within 5 miles of the airport. "
1338,(Refer to Figure 78.),https://i.imgur.com/8I4b18I.jpg,"You are hired to inspect the railroad tracks from the town of Hinton, north of Sioux City, to the town of Winnebago. Will you reuire ATC authorization?",B,"No, the flight will remain clear of controlled airspace. ","Yes, your route of flight will pass through Class D airspace. ","Yes, you route of lfight will pass through Class E airspace."
1086,(Refer to Figure 21.),https://i.imgur.com/Zx6EcdC.jpg,"You have been hired by a farmer to use your small unmanned aircraft to inspect his crops. The area that you are to survey is in the Devil's Lake West MOA, east of area 2. How would you find out if the MOA is active?",A,Refer to the legend for special use airspace phone number. ,This information is available in the Small UAS database. ,Refer to the Military Operation Directory. 
1087,,,Responsibility for collision avoidance in an alert area rest with ,B,the controlling agency. ,all pilots ,Air Traffic Control. 
1088,"(Refer to Figure 22, Area 2.)",https://i.imgur.com/abBukqU.jpg,"At Coeur D'Alene, wich frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?",C,122.05MHz,135.975MHz,122.8MHz
1341,(Refer to Figure 52.),https://i.imgur.com/GrWo2UI.jpg,On what frequency can you expect to monitor air traffic in and around Lincoln Airport?,A,118.5,122.95,124
1301,"(Refer to Figure 26, Area 3.)",https://i.imgur.com/bwhxaAK.jpg,What type of flights are being conducted as indicated by IR678?,A,"IFR military training route above 1,500 feet AGL. ","VFR military training route above 1,500 feet AGL ","VFR military training route below 1,500 feet AGL. "
1089,"(Refer to Figure 26, Area 4.)",https://i.imgur.com/bwhxaAK.jpg,"You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown Regional (JMS). What must you recieve prior to flying you unmanned aircraft in this area?",B,Authorization from the military. ,Authorization from ATC. ,Authorization from the National Park Service. 
1090,"(Refer to Figure 59, Area 2)",https://i.imgur.com/tTfxch9.jpg,"The chart shows a gray line with ""VR 1667, VR1617, VR1638, and VR1668."" Could this area present a hazard to the operations of a small unmanned aircraft?",B,"No, all operations will be above 400 feet. ","Yes, this is a Militay Training Route from 1,500 feet AGL and below. ","Yes, the defined route provides traffic separation to manned aircraft."
1091,"(Refer to Figure 24, Area 5.)",https://i.imgur.com/iT2jCsZ.jpg,You are operating an sUAS in the vicinity of Suphur Springs Airport(SUR) where there is active air traffic. Who has priority and right-of-way  within the traffic pattern area?,C,Priority and right-of-way goes to the aircraft closest to the landing runway. ,The sUAS.,The existing manned aircraft.
1092,"(Refer to Figure 71, Area 6.)",https://i.imgur.com/D9n832z.jpg,Sky Way Airport is ,C,an airport restricted to use by private and recreational pilots. ,a restricted military stage field within restricted airspace.,a nonpublic use airport. 
1093,"(Refer to Figure 71, Area 1.)",https://i.imgur.com/D9n832z.jpg,The floor of the Cass E airspace above Georgetown Airport (E36) is at ,C,the surface.,700 feet AGL.,"3,823 feet MSL "
1094,(Refer to Figure 75.),https://i.imgur.com/oo3JxLY.jpg,The airspace surrounding the Gila Bend AF AUX Airport (GXF) (area 6) is classified as Class,C,B.,C.,D.
1095,,,"Under what condition, if any, may remote pilots fly through restricted area?",B,When flying on airwats with an ATC clearance. ,With the controlling agency's authorization. ,Regulations do not allow this.
1296,,,Where can you find information about operating in an MOA along you planned route of flight?,A,Sectional chart. ,Chart supplement. ,Aeronautical Information Manual. 
1309,"(Refer to Figure 75, Area 6.)",https://i.imgur.com/oo3JxLY.jpg,"During preflight planning, you plan to operate in R-2305.Where would you find additional information regarding this airspace?",A,In the Special Use Airspace area of the chart. ,In the Aeronautical information Manual. ,In the Charts Supplements U.S. 
1331,"(Refer to Figure 24, Area 6.)",https://i.imgur.com/iT2jCsZ.jpg,What type of airport is Card Airport?,C,Public towered.,Public non-towered.,Private non-towered.
1096,(Refer to Figure 26.),https://i.imgur.com/bwhxaAK.jpg,What does the line of latitiude  at area 4 measure?,B,The degrees of latitude east and west of the Prime Meridian. ,The degrees of latitude north and south of the equator. ,"The degrees of latitude east and west of the line that passes through Greenwich, England."
1097,(Refer to Figure 69.),https://i.imgur.com/gEFoUQi.jpg,What does the line of longitude at area 7 measure?,C,The degree of longitude north and south of the prime meridian. ,The degrees of longitude north and south from the equator.,"The degrees of longitude east and west of the line that passes through Greenwich, England."
1098,,,Which statement about longitude and latitude is true?,B,Lines of longitude are parallel to the Equator. ,Lines of longitude cross the Equator at right angles.,The 0 line of latitude passes through Greenwich England. 
1099,(Refer to Figure 21.),https://i.imgur.com/Zx6EcdC.jpg,What airport is located approximately 47 (degrees) 40 (minutes) N latitude and 101(degrees) 26(minutes) W longitude?,C,Mercer County Regional Airport. ,Semshenko Airport. ,Garrison Airport. 
1100,"(Refer to Figure 20, Area 3.)",https://i.imgur.com/d7YF7CJ.jpg,"With ATC authorization, you are operating your small unmanned aircraft approximately 4SM southeast of Elizabeth City Regional Airport (ECG). What hazard is indicated to be in that area?",C,High density military operations in the vicinity. ,"Unmarked ballon on a cable up to 3,008 feet AGL. ","Unmarked balloon on a cable up to 3,008 feet MSL."
1101,"(Refer to Figure 20, Area 2.)",https://i.imgur.com/d7YF7CJ.jpg,Why would the small flag at Lake Drummond be important to a remote pilot?,A,"This is a VFR check point for manned aircraft, and a higher volume of air traffic should be expected there.",This is a GPS check point that can be used by both manned and remote pilots for orientation. ,This indicates that there will be a larger obstruction depicted on the next printing of the chart. 
1102,,,Which is true concerning the bue and magenta colors used to depict airports on Sectional Aeronautical Charts?,C,"Airports with control towers underlying Class A, B, and C airspace are magenta. ","Airports with control towers underying Class C, D and E airspace are shown in magenta.","Airports with control towers underlying Class B, C,D, and E airspace are shown in blue. "
1103,"(Refer to Figure 23, Area 3.)",https://i.imgur.com/mlGifuy.jpg,What is the height of the lighted obstacle approximately 6 nautical miles southwest of Savannah International?,C,"1,500 feet MSL","1,531 feet AGL. ","1,548 feet MSL."
1104,"(Refer to Figure 23, Area 3.)",https://i.imgur.com/mlGifuy.jpg,The top of the group obstruction approximatly 11 nautical miles from the Savannag VORTAC on the 009 radial is ,B ,400 feet AGL.,454 feet MSL. ,432 feet MSL. 
1339,(Refer to Figure 23.),https://i.imgur.com/mlGifuy.jpg,What is the maximum altitude you are permitted to fly when insecting the high-intensity towers 6 miles south west of the Savannah/Hilton Head Airport (SAV)?,A,"1,945 feet MSL. ","1,945 feet AGL. ","1,545 feet MSL. "
1332,"(Refer to Figure 20, Area 4.)",https://i.imgur.com/d7YF7CJ.jpg,A small UA is being launched 2 NM northeast of the town of Hertford. What is the height of the highest obstacle?,C,399 feet MSL.,500 feet MSL. ,500 feet AGL.
1333,"(Refer to Figure 24, Area, and Legend 1.)",https://i.imgur.com/iT2jCsZ.jpg,"For information about the parachute operations at Tri-County Airport, refer to",B,notes on the border of the chart. ,Chart supplement U.S.,the Notices to Airmen (NOTAM) publication. 
1105,"(Refer to Figure 24, Area 2.)",https://i.imgur.com/iT2jCsZ.jpg,"Operating an sUAS, can you vertically clear the obstale of the southeast  side of Winnsboro Airport?",A,Yes ,No,Maybe
1106,"(Refer to Figure 26, Area 1.)",https://i.imgur.com/bwhxaAK.jpg,You have been asked to inspect to tower just north of Binford. What restictions should the remote PIC be concerned with prior to operating the sUAS?,C,"None, the tower is in Class G airspace up to 1,200 AGL. ",Class E airspace begins at the ground as indicated by the blue hashed lines surrounding the area. ,Restricted airspace exists around the tower thus permission is required from the controlling agency.
1107,"(Refer to Figure 24, Area 1.)",https://i.imgur.com/iT2jCsZ.jpg,How close can the Remote PIC fly their sUAS to the Majors airport (GVT) without having to contact ATC?,A,4 Nautical Miles (NM),4 Statute Miles (SM),Remote PICs must contact ATC whenever operating within the magenta shading on Sectional Charts.
1108,"(Refer to Figure 22, Area 1.)",https://i.imgur.com/abBukqU.jpg,You have heen contracted to photograph Lake Pend Oreille from a vantage point just east of Cocolalla. You notice there is a hill which should provide a good place to take panoramic photographs. What is the maximum altitude (MSL) you are authorized to fly over the hill?,B,"You cannot operate your sUAS above 400 MSL, and thus cannot operate anywhere in this part of the country. ","You may operate up to 5,360 feet MSL in Class G airspace. ","You cannot operate your sUAS without ATC permission becuase you will be in Class E airspace above 1,200MS"
1109,"(Refer to Figure 20, Area 3.) ",https://i.imgur.com/d7YF7CJ.jpg,What is the latitude and longitude location of the Elizabeth City CGAS RGL (ECG)?,A,N36 16'W 76 10',W 36 16'N 76 10',N 37 0'W 77 10'
1110,"(Refer to Figure 20, Area 3.) ",https://i.imgur.com/d7YF7CJ.jpg,You need to operate your sUAS in close proximity of the Elizabeth City CGAS RGL (ECG) airport. What frequency should be used to contact ATC?,C,122.95,124.375,120.5
1229,"(Refer to Figure 20, Area 2.)",https://i.imgur.com/d7YF7CJ.jpg,What should you be aware of when operating within the vicinity of Lake Drummond?,A,High intensity of air traffic.,Terrain obstruction.,Seaplane base. 
1111,(Refer to Figure 80.),https://i.imgur.com/Z2hEbc3.jpg,What do the blue shaded lines indicate throughout this sectional excerpt?,C,Military training routes.,Airline corridors. ,Victor airways.
1112,,,The recommended entry position for manned aircraft to enter an airport traffic pattern is altitude.,B,45 to the base leg just below traffic pattern altitude. ,to enter 45 at the midpoint of the downwind leg at traffic pattern altitude.,to cross directly over the airport at traffic pattern altitude and join the downwind leg.
1114,,,Enteries into traffic patterns by manned aircraft while descending create specific collision hazards and ,A,should be avoided.,should be used whenever possible. ,are illegal. 
1115,,,What is required to enter an airport SIDA?,C,You must pass the TSA screening. ,You must have an FAA-issued pilot certificate.,You must have an airport-issued or approved ID. 
1116,,,The numbers 9 and 27 on a runway indicate that the runway is oriented approximately. ,C,009 and 027 true.,090 and 270 true.,090 and 270 magnetic.
1117,"(Refer to Figure 26, Area 2.) ",https://i.imgur.com/bwhxaAK.jpg,While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midfield left downwind to RWY 13. Where would the aircraft be relative to the runway?,A,The aircraft is East. ,The aircraft is South. ,The aircraft is West. 
1118,,,An aircraft announces that they are on short  final for runway 9. Where will the aircraft be in relation to the airport?,B,North ,West ,East 
